2017-05-26 17:26:04,509 [myid:] - INFO  [main:QuorumPeerConfig@106] - Reading configuration from: /home/ryan/software/zookeeper/bin/../conf/zoo.cfg
2017-05-26 17:26:04,513 [myid:] - WARN  [main:QuorumPeerConfig@306] - Non-optimial configuration, consider an odd number of servers.
2017-05-26 17:26:04,513 [myid:] - INFO  [main:QuorumPeerConfig@350] - Defaulting to majority quorums
2017-05-26 17:26:04,516 [myid:2] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2017-05-26 17:26:04,516 [myid:2] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2017-05-26 17:26:04,516 [myid:2] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2017-05-26 17:26:04,525 [myid:2] - INFO  [main:QuorumPeerMain@124] - Starting quorum peer
2017-05-26 17:26:04,533 [myid:2] - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2017-05-26 17:26:04,545 [myid:2] - INFO  [main:QuorumPeer@967] - tickTime set to 2000
2017-05-26 17:26:04,546 [myid:2] - INFO  [main:QuorumPeer@987] - minSessionTimeout set to -1
2017-05-26 17:26:04,546 [myid:2] - INFO  [main:QuorumPeer@998] - maxSessionTimeout set to -1
2017-05-26 17:26:04,546 [myid:2] - INFO  [main:QuorumPeer@1013] - initLimit set to 10
2017-05-26 17:26:04,552 [myid:2] - INFO  [main:DHService@25] - dhServerAddr set to pano2
2017-05-26 17:26:04,552 [myid:2] - INFO  [main:DHService@34] - dhServerPort set to 6688
2017-05-26 17:26:04,705 [myid:2] - INFO  [main:DHService@79] - DeepHealth client initialized
May 26, 2017 5:26:04 PM edu.jhu.order.deephealth.DHClient Ping
INFO: Got ping reply with time: 17:26:04:938
2017-05-26 17:26:04,962 [myid:2] - INFO  [main:QuorumPeer@479] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2017-05-26 17:26:04,976 [myid:2] - INFO  [main:QuorumPeer@494] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2017-05-26 17:26:05,016 [myid:2] - INFO  [Thread-1:QuorumCnxManager$Listener@504] - My election bind port: pano2/10.0.0.6:3888
2017-05-26 17:26:05,021 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.7:46742
2017-05-26 17:26:05,025 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.13:45518
2017-05-26 17:26:05,026 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.4:47752
May 26, 2017 5:26:05 PM edu.jhu.order.deephealth.DHClient SubmitReport
INFO: Submitting report from peer@2 about peer@2 at 1495819565029
2017-05-26 17:26:05,031 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 6 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,031 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 3 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,032 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 9 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,033 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.8:44212
2017-05-26 17:26:05,033 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 0 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,033 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.10:37786
2017-05-26 17:26:05,034 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 4 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,034 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.9:57108
2017-05-26 17:26:05,035 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 6 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,035 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 5 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,043 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.12:53562
2017-05-26 17:26:05,049 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 8 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 8 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,050 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 8 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,063 [myid:2] - INFO  [pano2/10.0.0.6:3888:QuorumCnxManager$Listener@511] - Received connection request /10.0.0.11:50784
2017-05-26 17:26:05,064 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 7 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 7 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
2017-05-26 17:26:05,065 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 9 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 7 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
May 26, 2017 5:26:05 PM edu.jhu.order.deephealth.DHClient SubmitReport
INFO: Result: ACCEPTED
2017-05-26 17:26:05,076 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:QuorumPeer@722] - LOOKING
2017-05-26 17:26:05,077 [myid:2] - INFO  [QuorumPeer[myid=2]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@815] - New election. My id =  2, proposed zxid=0x0
2017-05-26 17:26:05,081 [myid:2] - INFO  [WorkerReceiver[myid=2]:FastLeaderElection@597] - Notification: 1 (message format version), 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEpoch) LOOKING (my state)
