2017-05-26 17:26:04,510 [myid:] - INFO  [main:QuorumPeerConfig@106] - Reading configuration from: /home/ryan/software/zookeeper/bin/../conf/zoo.cfg
2017-05-26 17:26:04,514 [myid:] - WARN  [main:QuorumPeerConfig@306] - Non-optimial configuration, consider an odd number of servers.
2017-05-26 17:26:04,514 [myid:] - INFO  [main:QuorumPeerConfig@350] - Defaulting to majority quorums
2017-05-26 17:26:04,517 [myid:9] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2017-05-26 17:26:04,518 [myid:9] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2017-05-26 17:26:04,518 [myid:9] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2017-05-26 17:26:04,527 [myid:9] - INFO  [main:QuorumPeerMain@124] - Starting quorum peer
2017-05-26 17:26:04,535 [myid:9] - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2017-05-26 17:26:04,547 [myid:9] - INFO  [main:QuorumPeer@967] - tickTime set to 2000
2017-05-26 17:26:04,547 [myid:9] - INFO  [main:QuorumPeer@987] - minSessionTimeout set to -1
2017-05-26 17:26:04,547 [myid:9] - INFO  [main:QuorumPeer@998] - maxSessionTimeout set to -1
2017-05-26 17:26:04,547 [myid:9] - INFO  [main:QuorumPeer@1013] - initLimit set to 10
2017-05-26 17:26:04,554 [myid:9] - INFO  [main:DHService@25] - dhServerAddr set to pano9
2017-05-26 17:26:04,554 [myid:9] - INFO  [main:DHService@34] - dhServerPort set to 6688
2017-05-26 17:26:04,700 [myid:9] - INFO  [main:DHService@79] - DeepHealth client initialized
May 26, 2017 5:26:04 PM edu.jhu.order.deephealth.DHClient Ping
INFO: Got ping reply with time: 17:26:04:938
2017-05-26 17:26:04,959 [myid:9] - INFO  [main:QuorumPeer@479] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2017-05-26 17:26:04,967 [myid:9] - INFO  [main:QuorumPeer@494] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2017-05-26 17:26:04,977 [myid:9] - INFO  [Thread-1:QuorumCnxManager$Listener@504] - My election bind port: pano9/10.0.0.13:3888
